date,ASX Small Ords Accum (Ex 100),S&P/ASX 200  Energy   ( TR)m,S&P/ASX 200 - Materials   ( TR)m,S&P/ASX 200 - Telecommunication Services   ( TR)m,S&P/ASX 200(TR)m,S&P/ASX 200 - Property Trusts   ( TR)m,ASX Small Ords Accum (Ex 100),AU NAB Business Confidence,AU NAB Business Conditions,AU NAB Trading Conditions,AU NAB Profitability,Aus NAB Employment,AU NAB Forward Orders,AU NAB Stocks,AU NAB Labour Costs,AU NAB Price of Final Products,Aus Employed - Unemployment Rate,AU NAB Capacity Utilisation,Aus AW Hours,Aus Real GDP mom%,Aus Nominal GDP mom%,Aus Gross Operating Surplus-Private Non financial mom%,Aus Non farm unit labour costs,Aus Wages share % GDP,Aus Rates of Pay Private Sector mom%,Aus Westpac-MI Consumer Sentiment Index,Aus Change in inventories Private real % GDP, Aus non Farm GDP real mom% ,Aust Real Retail Turnover - Total mom%,Aus CPI All Groups,Aus CPI All Groups ex volatile items,Aus CPI Weighted Median,Aus CPI Trimmed Mean,Aus Private Dwelling Investment mom%,Aus Private Capex Equip Investment ex transfers mom%,Aus GDP - Household Consumption mom%,Aus GDP - Private Investment mom%,Aus Terms of Trade,Aus Net External Debt mom%,NAB Business Conditions Deviation from Avge,NAB- NAPMNO Deviation from Avge,Aus Non-Residential Construction Investment mom%,Aus Average Hours(Market sector),Aus GDP per Hour Worked,Aus GDP per Hour Worked(Mkt sector),Aus NAB Business Confidence (SA),Aus NAB Business Conditions(SA),AU NAB Trading Conditions(SA),AU NAB Profitability(SA),Aus NAB Employment(SA),Aus NAB Forward Orders(SA),AU NAB Stocks(SA),AU NAB Labour Costs(SA),AU NAB Purchase Costs(SA),AU NAB Prices(SA),AU NAB Capacity Utilisation(SA),Aus Interest on Dwellings mom%,Aus Consumer Debt Interest mom%,Aus Current Account Deficit % GDP,Aus Household Interest Payments to Disposabl Income,Aus Household Housing Interest Payments to Disp Inc,Aus Household Debt to Assets,Aus Housing Debt to Housing Assets,Aus Total Assets to Disposable Income,Aus Financial  Assets to Disposable Income,Aus Househld Assets- Dwellings,Aus Househld Assets- Consumer Durables,Aus Household Assets- Deposits,"Aus Household Assets- Reserves Life, Pension funds",Aus Household Assets- Equity,Aus Household Assets- other Financial,Aus Household Assets -Total Financial,Aus Household Debt to Disposable Income,Aus Housing Debt to Disposable Income,Aus Housing Debt(est) % of annual Aust GDP,NAB Business Conditions SD from MAV(12),AUS Current Account % of AUS GDP,Aus Aggregate Monthly Hours Worked mom%,Aus Employed - Labour Force mom%,"NAB fwd Orders detrended, normalised",NAB Retail - BusConditions v Total Business Con(2),NAB FBP - BusinessConditions rel overall Condit(2),Australia General government net debtPercent of GDP,AU Westpac-MI Consumer Sentiment Index - Buy major HH item,AU Westpac-MI Consumer Sentiment Index - Family Finances now,AU Westpac-MI Consumer Sentiment Index - Family Finances 1yr,AU Westpac-MI Consumer Sentiment Index - Economic Conditions 1yr,AU Westpac-MI Consumer Sentiment Index - Economic Conditions 5yr,Aus Employment to Population Ratio,Aus Employed  (Part time),WBC Consumer Economic Conditions 5yr - 1yr,WBC WBC Consumer Sentiment Time to buy a House,Aust Underemployment rate
31/12/1999,3141.3,16693.55,17563.95,13810.87,14483.04,12867.8,3141.3,8.7,16.7,28,16,6,-3,8,1.2,0.6,6.68,81.2,75,,,,64.1,55.2,,105.8,,,,1.8,1.6,2.6,2.3,,,,,53.6,,0.91,0.25,,80.9,76.4,70.2,7.3,14.9,24.9,14.8,6.2,-1.4,8,1.2,,0.6,81.2,,,,6.8,4.7,16.3,18.9,669.8,277.2,1513,178,217,487,289,201,1194,109.5,66.4,42.48,2.36,-4.42,,,-0.61,13.96,9.01,11.04,130.2,97.1,103.9,101.8,96,58.86,2297.1,-5.8,150.1,6.36
31/01/2000,2953.2,16796.7,16166.9,13588.8,14313.58,12558.1,2953.2,9,9,19,4,4,1,5,1.1,0.6,6.77,80.4,75.03,0.14,1.04,3.27,64.41,54.96,0.24,109.7,-0.18,0.11, -   ,2.14,1.84,2.57,2.37,3.44,0.19, -   ,3.44,54.18,2.5,0.59,0.06,10.74,81,76.47,70.4,5.1,10.6,20.1,5.4,5,2.7,8.3,1.2,,0.5,80.9,3.9,4.11,2.05,6.94,4.84,16.4,19.07,667.45,276.89,1516.07,179.02,217,492.79,290.7,201.34,1201.84,109.64,66.64,42.45,0.37,-4.47,1.25,-0.45,-0.06,-8.96,19.55,10.71,133,98.9,106.1,109.9,100.3,58.46,2283.43,-9.6,148.3,6.38
29/02/2000,3018.6,14229.12,14172.92,14218.6,14569.27,13376.4,3018.6,-2.9,9.3,17,-1,12,2,7,1.3,0.6,6.62,81.6,75.07,0.13,0.97,2.96,64.69,54.74,0.22,102.2,-0.16,0.1, -   ,2.46,2.06,2.53,2.43,3.12,0.17, -   ,3.11,54.72,2.29,0.48,0.07,9.08,81.1,76.53,70.6,1.5,9.1,17.6,0.5,8.4,1.4,6.6,1.3,,0.6,81.3,3.51,3.69,1.88,7.06,4.96,16.5,19.23,665.25,276.61,1518.93,179.98,217,498.21,292.3,201.66,1209.16,109.76,66.86,42.44,-0.42,-4.51,-1.94,0.42,-0.19,-8.02,23.29,10.4,132.8,93.7,99.9,92.5,91.9,58.71,2313.12,-0.6,146.5,6.44
31/03/2000,2985.7,14690.04,14690.04,14690.04,14690.04,13376.95,2985.7,6.8,8.8,17.3,7.1,2,2.8,1.4,0.8,0.5,6.56,80.9,75.1,0.14,1.02,3.08,65,54.5,0.24,102.9,-0.18,0.11,-0.77,2.8,2.3,2.5,2.5,3.23,0.18,0.3,3.23,55.3,2.39,0.5,-0.05,8.89,81.2,76.6,70.8,6.8,9.4,18.6,7.2,3.2,2.7,5.7,1.2,1.1,0.5,81,3.62,3.8,1.97,7.2,5.1,16.6,19.4,662.9,276.3,1522,181,217,504,294,202,1217,109.9,67.1,42.42,-0.35,-4.55,0.11,0.49,0.02,-2.04,15.45,10.07,134.6,97.4,99.9,90,92.4,58.95,2315.59,2.4,144.7,5.74
30/04/2000,2644.3,15139.94,15212.09,13177.1,14613.1,13633,2644.3,-0.6,5.2,11.4,3.1,1.1,0.6,3.7,1.3,0.8,6.38,81.1,75.33,0.3,0.4,1.14,64.8,54.5,0.28,98.5,-0.04,0.35, -   ,2.9,2.4,2.5,2.53,2.12,2.11, -   ,-0.44,55,1.34,0.38,-0.25,-8.48,81.5,76.6,70.73,-0.1,7.8,14,4.6,5.3,1.9,4.6,1.6,2,0.8,81.3,3.88,2.97,2.7,7.43,5.26,16.76,19.6,664.52,277.72,1528.92,181.66,217.33,511.91,297.96,200.68,1227.88,111.25,67.79,42.55,-1.12,-4.66,-0.24,0.21,-0.09,-8.99,28.21,9.75,133.2,90.3,94.1,83.6,91.3,59.14,2339.12,7.7,136.57,5.92
31/05/2000,2534.5,18133.04,15010.66,11833.29,14469.4,13807.92,2534.5,-6.2,-1.1,1.7,-8.1,3.1,-1.5,1.9,1.1,0.6,6.41,80.6,75.57,0.31,0.41,1.17,64.6,54.5,0.28,94.8,-0.04,0.36, -   ,3,2.5,2.5,2.57,2.15,2.14, -   ,-0.45,54.7,1.36,0.01,-0.46,-9.57,81.8,76.6,70.67,-3.1,2.9,6.8,-1.8,4,0.8,1.3,1.4,1.5,0.7,80.6,3.86,2.98,2.72,7.67,5.44,16.94,19.8,666.18,279.18,1536.08,182.34,217.67,520.09,302.04,199.32,1239.12,112.65,68.51,42.67,-3.15,-4.76,1.07,0,-0.2,1.24,6.18,9.42,130.9,89.6,89.5,73.6,90.5,59.06,2344.49,16.9,128.43,6.41
30/06/2000,2741.8,18878.36,16792.24,11933.22,15628,14139.16,2741.8,-3.7,11.9,22.7,11.9,1.1,5.7,-2.3,1.3,0.6,6.11,80.9,75.8,0.3,0.39,1.12,64.4,54.5,0.27,97.9,-0.04,0.35,3.5,3.1,2.6,2.5,2.6,2.04,2.02,0.86,-0.44,54.4,1.3,0.8,0.6,-10.24,82.1,76.6,70.6,-0.8,13.4,22.2,12.6,1.7,4.1,1.1,1.4,1.5,0.8,81,3.6,2.8,2.56,7.9,5.6,17.1,20,667.8,280.6,1543,183,218,528,306,198,1250,114,69.2,42.79,1.35,-4.87,1.82,0.13,0.2,-0.91,7.58,9.1,124.2,97.7,96.6,82.9,88,59.27,2320.72,5.1,120.3,5.93
31/07/2000,2844,18807.86,16344.27,12276.69,15345.8,14488.75,2844,6.5,2.1,10.2,1.4,-5.4,-4,-6,2,1.8,5.95,80.1,75.97,0.09,0.84,1.25,64.87,54.5,0.33,108.9,0.04,0.02, -   ,4.11,3.54,2.37,2.53,-7.75,2.26, -   ,-2.28,54.64,2.99,-0.19,-0.2,0.72,82.23,76.47,70.57,4.5,0.3,5.8,-2.6,-2.8,-2.9,-4.3,1.1,2,1.5,80.4,1.85,0.05,-6.73,7.8,5.53,17.13,20.2,663.52,278.65,1549.4,184.01,220.7,531.37,303.3,199.01,1254.38,113.56,69.5,43.87,-2.86,-4.5,0.19,0.75,-0.66,-18.66,21.94,8.77,129.4,99.8,108.9,102.5,104.1,59.75,2367.51,1.6,119.37,5.7
31/08/2000,2926.2,20608.56,16830.75,11137.32,15600.7,14451.4,2926.2,0.2,3.9,11,0.4,0.4,-1.5,0.6,1.7,1.2,6.05,80.5,76.14,0.09,0.83,1.23,65.34,54.5,0.31,113.6,0.04,0.02, -   ,5.12,4.49,2.23,2.47,-8.4,2.21, -   ,-2.33,54.87,2.9,-0.13,-0.34,0.71,82.37,76.33,70.53,1.6,1,7.8,-1.9,-2.1,-2.4,-1.3,1.3,1.9,1,80.3,1.82,0.05,-7.21,7.7,5.47,17.17,20.4,659.24,276.69,1555.8,185.02,223.39,534.74,300.61,200.02,1258.76,113.12,69.81,44.95,-1.8,-4.14,-1.1,0.07,-0.56,-2.52,12.22,8.44,136.5,98.4,115.8,110.3,106.7,59.66,2384.78,-3.6,118.43,6.52
30/09/2000,2789.6,20292.2,16368.6,10481.14,15714.3,14412.01,2789.6,8.1,-7.3,-6.2,-15,-0.9,-7,3.8,1.3,0.7,5.96,78.3,76.3,0.09,0.8,1.18,65.8,54.5,0.31,102.4,0.04,0.02,-3.75,6.1,5.4,2.1,2.4,-8.87,2.1,1.08,-2.31,55.1,2.73,-0.71,-0.76,0.69,82.5,76.2,70.5,2.8,-6.7,-4,-12.5,-3.6,-6.9,3.8,1.3,1.9,0.9,78.2,1.73,0.05,-7.52,7.6,5.4,17.2,20.6,655.1,274.8,1562,186,226,538,298,201,1263,112.7,70.1,45.98,-2.95,-3.8,0.19,-0.13,-1.03,-3.72,2.98,8.12,127.7,91.3,108.3,89.3,95.6,59.57,2356.86,6.3,117.5,6.12
